page,name,link,thumbnail,rating,date,snippet,images,local_guide,label_sentimen
2,Devan MN,https://www.google.com/maps/contrib/104724203917618517068?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUsddPRC2YFN4lUW3kVMoNZIsYnM3Cwerxh7c_iAWfyyiQcOCyI=s120-c-rp-mo-ba3-br100,4.0,6 tahun lalu,"Menikmati pagi di wisma anggrek politeknik pos indonesia bandung ..
Lumayan untuk kegiatan dengan rombongan besar ..
Tapi sayang jalan menuju ke lokasi sempit untuk bawa rombongan dalam bus besar","['https://lh3.googleusercontent.com/geougc-cs/AB3l90CrKihmqayso6KTqsgehIk96XnYe0OQcAzPbAejqkhhWWHyqfVC-TErmz9vVkHKf-fdcTKUEAF_DNDDwkQXpYi1Gp2PxQ5PXYoFCH-9OOUMEXjTEMZNqIQuduT3_R6iIF4-FdZdhA', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CAgDwvjwnVrrnyQ7iKr7YdsRhuEPKzJcWHFxPuVTHAFFucnMuzod38zMMIWXltODh7ofGu-BJUEMqzdYFAOoRRTRHxhYynk_KVNmUDIUcs13CASUcs3WSIdbvf2tG4ozDUU5xV', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Dn0JeDQ75c6NYzePiZ2a70OjmZXlfrQ3iNzEym1xY8hhcqLv4g0fh3NhrNXMUrfi-Rgrs3uZE_IL7ZNaigG8p7-zSMpO-NUThf3Zq2mLXqL_HGyTfspDtUx0_0n4F2BGQU9Z1ZUQ']",True,negatif
2,Cecep Hasanudin,https://www.google.com/maps/contrib/100548717172565994996?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXUSllZ0exGC6Rtwi3igvdShJnlcXJmofGYENjebHGBb7uvXCIC=s120-c-rp-mo-ba6-br100,5.0,5 tahun lalu,"Kampus Hijau, Bersih dan Nyaman. Tapi mesjidnya kecil 😭","['https://lh3.googleusercontent.com/geougc-cs/AB3l90CEZrs5jFgrMwHk70ncoAHfPFme_VgwR2H7-zMobqnDAhfcAiJIs1PBuAUY1sPMtksEvO6CVbLn9j7y362AWw06v4n1ddCZs5oDkOEFOjYWzrtU8A7hG7IbYHjtLlgYDPyX2FU', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AJ_LpQ4i_AEH00_0O7RxEHnO_ovePDvIbKZWjgSqTAhkWXimPREaa23Lx45OH7TlSUu2TW5eVodxgKuZUBdPAZiYrhQ743EumW70ONJlrOMXOPRxScmXEdJymSKRVDcpT3m2-vpQ', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DA0EeKbE6nhrEEehjt0ok3qy8JJXhZaS04Z_wdEtj-HHUCWmHg-CAEUxRM3PobEMILEIPDi_s5kVyHIkvf3wDQKeIDpEPYzHbqpKFOsudJhECLwlblMa7d851P-cakZANjzKY', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90B3o7xGJQBN7GTgqRFO7YsTc-qiM9mTW8NR9qmOkLGRZOxZG5OTPmLK3Jh_OWAA3_lGdd0Z62fvh1yV_4vj9vq19GmWK5PJAXY14Iu-7YTbA9iEjhqw9mHeHEnXYY3ZebGFsn9T', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DHrmKVtGealxUR2u0WLZUikSQSE5doR8qrePIFViVNEoF3dkGajCOom7YZK21HffTkKGJDPi6IuR42KhPwly5SY2KT1g7mFCxhk2EhRRUruAyUXzD2CX6a7Z3TXSgnkxSOud02', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Ct5ai2GAklF4rigjwIT8HRu2Y2_mzAF-_7MYHr8BiBs9Bb-UQrRlSidgjH17XtsJCzI7PUvrCV0HbMPVDwSK_9Y6Yk3eVZhH7Qs-8t1Ido-FOhDxB9SHuQrigGe_2o-39t8zvN', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90C_YHkSNxdCPE9QmMEo34G2-8klN9qHgQaNM-m-TwD5vKTnTmRTBOCHYsWShGf0Q1rmFxtpzn5UEqNPi1ABmQV4vXFoAMIWv4aIClsuFxnAOSGb-SluAfcGF7a81KI0kyt8VIXF', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AzgwN_33H3L-G7DaBoeJ4pRpU_GxnJm2Oig9d2E5Zky0Xmqnh_4Hsdu5oYjZ0uezVxo1XLw_ncubliG_Knyk_BoczQ-2_bwkt6UzuOJdKldJ_LBEw47BGU4zDg7MIy_sn4-pAu', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90ALhI5OIANGw09752q1P95TlnABjQjD4Uq3RZNZSinpnieBhQF_At5TVEScjNKQZWQ0-DEkhunThb8MTmIQhmEbNbCGS-eV2HIZYccNIqDlbGyRELQERY_L9tiYQgUDZoORtnJyhg', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90ClThrPs5i_ShR-qdAUD36RIMny9WfjOGYeUaNu9K38IxDguL69cHkFz9UHvYd-UQzSBqjkb-_2ZoDuet4QYJIQEbAMYWAVKmQ_TyWN6q3w2kGsQsWyq90qp736VWhKHbF1UsFehg', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Dg-Usscl8aQU1vdlwWlYETwcKJNAoCqdjJfFb1x1kC3ecWLRR583I2ReC4BQ4XA2CUVcfDXhsOjrLL08ZN99fcaFJnveBlxDaW0KnsY0eYce_wghla7vAvmp5kfxeks_I0ckna', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DEjkCj8piJ4RQmr3xUjt4N5rekdwo1p3HjpBvOgCr78f4DJj74MTHQQM7bxVGq1km3BY6H1KNqAY9dQEQ1jxed7seOmvn5OpFoXNf9QzCJrkBXKG_NzlWJ8YsmmrdCia5WNlPI', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CA-0MmPJUR7e8t-y4RCQM-O7xaLDggHY_9Eu80UdelDCPJduXehLyDam_aGo9GlEisCc1v1X1i-a7yeLX5WTBcJVxZysII4Ag1UFPZzXIqYTL61FveZVggq7bnVzAH5cXqoumf', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Bja3OtEOEyUCpclo9-xlED_Cr8oWRRMk0m6E4dOLk-mAxMgyeo0vDDIMeey8y1nOK2r9N7aW3pAPKUpStUfi9yG20FAx4ClFooNQIPWqJw0kGQdZPiDtAe1TF7qQHyY3XMGadN4w', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AWgPzUROmBUuNKTlNwPNAYRKTaC2lZByLZ_QCgxcivufPF225p7n3S0FQP-hkQdrJOq4o_itv0Q6a5YbR2tgF7weviyhoyglI79DHHQT_Q46t6hq_MB3iLy4T4YJiVAlLwkatsnQ']",True,negatif
2,Agus Sulaeman,https://www.google.com/maps/contrib/115143449344049976724?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJk4hHrE7Ndiv8bcXEp-XuIYTHR03OZ-IztoWRnKQR9y-8jTw=s120-c-rp-mo-br100,5.0,11 bulan lalu,"Saya Ortu dari salah satu siswa ULBY yg mendapat beasiswa, sekarang sudah berjalan 2 tahun mengikuti proses kuliah dan tidak pernah ada tagihan biaya kuliah apapun ke saya.
Saya yg bekerja sebagai Jasa Penjahit dan jualan pulsa kecil kecilan merasa sangat bersyukur dengan beasiswa yg di berikan ULBY kepada anak saya.
Alhamdulillah......terimakasih yaa Allah,Terimakasih juga untuk semua pihak yg terlibat dalam program Beasiswa ini.
Semoga kelak anak saya bisa menjadi anak yg berguna bagi banyak orang dan berbakti pada Orang Tua aamiin......",,True,positif
2,Rusdi Kamajaya,https://www.google.com/maps/contrib/115524054962943970325?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXAQTT3ZHi4IwSMJBqyLebpcU-7N5m9upToq91yJ3eX5oPnRdg0=s120-c-rp-mo-ba4-br100,5.0,4 tahun lalu,Kampus nya cukup rindang sejuk lumayan luas lokasi nya,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90BWZL46JP3qbIPIuwQAIfw_ynwW7ELatGmuYYn6sOVPcPZNGraM3JKeTHjly1dyQSiPxfZIvDpvm3qvnsdFjDhJorOiJ-MFtdej53qdQ4AE9VAG9k-8ys1AXNe4vpcJyytxSYgzwQ', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Dfi8PUWIRnQH1122cYkSARJ4YQSaexNyEDQHvTIG0w9jJpwctQUrqUHhY44dttjGqinrAgEDqUahLdLqWWnnkgwbgXGehwm2l4fFbCg-hLmjcDftIVJdhz67MmHPF0DXK6h8Y', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AoWHjnbU98t2fXHep_UZ31RhqfZRFpzXLs94L6L-cnkFtB6VIH5EyfOvbIzf3Jf192rbVm4n7jOxBZgjX8HKGso74rbj2j9CPth1gR9UlTqt7ikNuvX2SiDrDyTQSHKT2AUpIg']",True,positif
2,roni putro,https://www.google.com/maps/contrib/112491020751202489560?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjV4rwMbhunIpSss1oTX3lO0JwlFz-yEUjt5aD4ziM7MRBBLWCLG=s120-c-rp-mo-ba5-br100,4.0,3 tahun lalu,Bangunan sudah modern..habis ini branding menjadi unipos..semoga semakin maju dan bisa mencetak generasi emas untuk logistik maju Indonesia,['https://lh3.googleusercontent.com/geougc-cs/AB3l90AHkh5i6gCAZy9jmI6MH_OJOll2A_rVoH1MIzXKx1AZz7QWxWtZzY_p1cgk6agt45kDN_Z6Om3jfR1RfgIlF0n_lih95md1RTTxvhNUNfSXFxTs32cWttN01DJAUaXipAsiOTCM'],True,positif
2,Yuli Oktaviana,https://www.google.com/maps/contrib/102179292283292817447?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJ93250QhPN1-vri5DnehIS4Aoa--WoWQ7AxSmaMoVpVpaIqqE=s120-c-rp-mo-ba2-br100,1.0,setahun lalu,"Kampus terburuk yang pernah ada. Mencari keuntungan dengan modus ""beasiswa ikatan dinas"". Beasiswa mana yang harus bayar berkali-kali. Registrasi pertama bayar 450k, diterima 750 orang, lalu minta bayar registrasi lagi. Akhirnya butuh uang total 1.480.000 hahaha
Wajib dicurigai sih ini kampus.

Duhhh bikin malu dan trust issue aja. Hati-hati gaes jangan sampe jadi korban!",['https://lh3.googleusercontent.com/geougc-cs/AB3l90BVQH4XIZT3fnmSLRSmb1llTjVHyP_5mNCcR-KBP7fI66U7Px4STfMxL3_qoJsXIyZzSH9nTH-d5IjKyEGLsdOOGjg2TrHjTt7DVCTP-QEyjLYkaxR0r-8FHmujgiV10NdeVJA'],True,negatif
2,Cokorda Agung,https://www.google.com/maps/contrib/102081347548052089706?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjW93y2Pa7Lo96dc2JD7ONuTlWspVP0oexbtYjq02uooUEe56iA=s120-c-rp-mo-ba3-br100,5.0,5 tahun lalu,"Tempat mencari ilmu, disini saya belajar kemandirian. Tempat banyak cerita cinta haha","['https://lh3.googleusercontent.com/geougc-cs/AB3l90CgTqH0u1Et5-kVQ-7qdFj6dNAtYKq9rlM-6ZUljM6uFOliWuv2nPVYOeNcbuW5Lu6GyFi-xwM6cV-GxzdZqUBg9m6dL5o0XQCiOAPjCe3e8z7is7YigOFMUINTJvr4r87haCsm6A', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DSLldpwLiO5R9jH8vAlRR-4xNqdaAhZQzOi6Ud9fnNsgMMDHyn8oAMyQ7lnLvDfMntlN2oIQGmWOhPX4s2WsiLQgzXQ6KQ2RhKgWgoIEueFqoA1Xc1N2dVe7bXvIQjXZe3D0w9pA']",True,positif
2,Ahmad s,https://www.google.com/maps/contrib/108147145432371949434?hl=id,https://lh3.googleusercontent.com/a/ACg8ocLqxBiZZAsFaY6Z07OcZ7ngVHs-6Cg38WkqmJl6EWiJPl_8Gw=s120-c-rp-mo-ba3-br100,1.0,10 bulan lalu,"Saya tanya lewat WhatsApp terkait pendaftaran di ulbi adminnya lemot banget responnya, niat ga sih jadi admin dan niat juga ga membuka pendaftaran. lewat email juga ga ada tanggapan sudah beberapa hari dan saya sudah sering ngechat dan tetep sama tidak ada balesan. Gimana nih ULBI",,True,negatif
3,Cica Wulan,https://www.google.com/maps/contrib/114867414882176412032?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjW86hE1kxo1dJt7SaX4gSPzkDdqLnppg5UyT0vhbbPkn7lhZucN=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Universitas yang keren abiss. Tempat belajar yang oke, dengan proses belajar yang sangat menyenangkan sehingga mengantarkan saya pada sebuah kesempatan yang luar biasa untuk bisa mendapatkan beasiswa ikatan dinas oleh PT Pos Indonesia. Dengan jaminan lulus langsung kerja. ULBI keren ❤❤",,,positif
3,Saripah Nur Aulia,https://www.google.com/maps/contrib/112744852736412306643?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWsv7M9MFJ_3aEJnZk04XNgX_bPwSShrvps2hGbWJ2uIjIQQx_B=s120-c-rp-mo-ba6-br100,5.0,3 tahun lalu,"Saya berkunjung kesini ketika mengikuti tes UTBK. Setelah berkeliling, fasilitas kampus ini cukup bagus. Poltekpos dan Stimolog sekarang sedang proses meger ke ULBI(Universitas Logistik Bisnis Internasional) . Para satpam disini pada ramah, ada kegiatan mahasiswa juga yg terlihat menyenangkan.",,True,positif
3,cantika shahnaz,https://www.google.com/maps/contrib/118080862272928689264?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjW6cOpMXhqZQgpvAmtC4rAAOyaqog23LGePLmYRGjm_bmGAzO0=s120-c-rp-mo-br100,5.0,4 hari lalu,kampus BUMN ter orange💌💌,,True,netral
3,SUSI KURNIA,https://www.google.com/maps/contrib/106425200621219990442?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKWdW_kfRXXRKvICY4oNMiZHbnxwUqwK2JPnvR9PSibSF_pyQ=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Di sinii  suasana kampus nya nyamaan dan kondusif.
Falisitas yg disediakan memadai untuk kegiatan pembelajaran.

Lingkungan area kampus juga aman, jauh dari hingar hingar. Banyak tempat healing yg bisa dijangkau Dr sinii 😁

Merupakan pilihan yg tepat buat kamu yg ingin menjadi ahli di bidang management logistic. Trust me....",,True,positif
3,Sakti Febrian,https://www.google.com/maps/contrib/114789905962158008116?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjU-f2YizD_QtdmlsrXMkgsTEptvxrYHZ0t-b7n7DDG4yFNBgVHLqQ=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Kampus terbaik bagi pendidikan ilmu logistik dan bisnis internasional,, dan lulusannya bener2 bisa langsung siap kerja karena adik saya sendiri juga alumni ULBI yg dulunya bernama Poltekpos.. 👍👍👍",,,positif
3,Tampuras Sadek,https://www.google.com/maps/contrib/112491183396032598466?hl=id,https://lh3.googleusercontent.com/a/ACg8ocLeOBLRMxJTBUQyV5uItJ67FPbZ6dX8IINTzrASWFbVFb7IJg=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Kampusnya enak banget, asri dan adem, sarana olahraga juga lengkap, cari kosan sekitar situ banyak kok, tempat makan dan jajanan juga banyak, jadi gk kuatir kelaparan hehe...",,,positif
3,mochamad irfan,https://www.google.com/maps/contrib/116128893918786874853?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXB-LuhNvUD-MtR27Mdjs8VuRYekwf7SRVcodkfhU6ggYyIbBiX=s120-c-rp-mo-ba3-br100,5.0,2 tahun lalu,"PT pos Indonesia adalah badan usaha milik negara dan sudah pasti dijamin kapabilitasnya dengan jangkauan layanan yang merata diseluruh wilayah Indonesia, kami yakin PT Pos Indonesia akan selalu berbenah dan mengembangkan dirinya untuk menjadi perusahaan yang terbaik dengan penuh tanggung jawab terhadap konsumennya.",,True,positif
3,Mohamad Yasin,https://www.google.com/maps/contrib/100780660357150766121?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXtZ2P7URsq3tDz9VX3W3DZccY1S2jnUf9HEmiu6Nc2_6jCdLhr=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Kampusnya keren, lokasinya mudah diakses dan program studinya itu loh sangat prospektif dan up to date dgn situasi perkembangan bisnis saat ini dan lulusannya banyak berkiprah di dunia logistik nasional...pokoke sangat pas buat menuntut ilmu disini.....",,,positif
3,nurlaela kumaladewi,https://www.google.com/maps/contrib/104012366348616241687?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWy6zB6L3JB_KZPCzME62GXlG4rURZ4odOlFoHq3s3QANVL2g=s120-c-rp-mo-br100,5.0,2 tahun lalu,Universitas Logistik dan Bisnis Internasional merupakan Universitas pertama di Indonesia yang fokus di Bidang Logistik. Universitas ini hasil merger dua institusi pendidikan di bawah PT. POS Indonesia yaitu Sekolah Tinggi Manajemen Logistik (STIMLOG) Dan Politeknik Pos Indonesia keduanya merupakan institusi pendidikan dibawah PT. Pos Indonesia. STIMLOG yang merupakan sekolah pertama keilmuan logistik dan transporatsi di Indonesia dimana lulusannya bergelar Sarjana Logistik (S.Log) dan alumninya tersebar diseluruh Indonesia dengan penempatan pusat pusat logistik dan transportasi. Hasil survey penguna alumni STIMLOG menunjukan 87.3% pengguna puas dengan kompetensi lulusan STIMLOG dan hasil Tracer Alumni menunjukkan bahwa kompetensi Utama menunjukan sesuai dengan kebutuhan industri logistik dan transportasi,,,positif
3,cahyat rohyana,https://www.google.com/maps/contrib/106407332023141184139?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjULvv1sTEMZNnYz6UpWMzh2zR86Q_FXhyYS9SmpP0ByIdNAc9YM=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Kampus yang keren, menghasilkan talenta terbaik di bidang manajemen logistik dan supply chain. Lulusannya siap kerja sehingga cepat direkrut sebagai expertist di berbagai perusahaan yang bergerak di industri logistik. Mantaaapp 👍",,,positif
4,ronald siahaan,https://www.google.com/maps/contrib/109458512186158547983?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXX2lT1UVOvlrVO3FJBFWCY8YtnoXmHDTOWQvEQwGdfrzs5i14x=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Kampusnya kren dan lingkunganya sejuk serta transportasi mudah, menghasilkan lulusan terbaik dibidang Logistik dan Supplay Chain dan siap.kerja sehingga cepat direkrut perusahaan yang bergerak dibidang Logistik dan Supplay Chain Manajemen.",,,positif
4,Nurhidayati Agustini,https://www.google.com/maps/contrib/107933249876624717013?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVHW4M29XusazkPIiZrd50BSJKsJR5w4eKAJBMLvKDcpEpdJa4=s120-c-rp-mo-br100,5.0,2 tahun lalu,"Termasuk perguruan tinggi berbasis logistik pertama di Indonesia, lulusannya keren banyak dibutuhkan. Setelah jadi ULBI lebih byk pilihan fakultas dan jurusan yang kekinian. Yuk segera gabung  jangan ragu- ragu. Bonusnya  kampusnya yg  luas dan nyaman.",,,positif
