rating,snippet,label_sentimen,tokens
5.0,pelayanan bagus ramah dan informatif,positif,"['layan', 'bagus', 'ramah', 'informatif']"
5.0,suka bangeeett sih kalau ke sini udaranya segar bangeeett,positif,"['suka', 'bangeeett', 'sih', 'udara', 'segar', 'bangeeett']"
5.0,murid saya ada yang kuliah disini baru saja lulus oktober 2024 alhamdulillah semoga segera bisa mengabdi di masyarakat,positif,"['murid', 'kuliah', 'lulus', 'oktober', '2024', 'alhamdulillah', 'moga', 'abdi', 'masyarakat']"
5.0,kampusnya adem semoga telekomunikasi university meningkatkan kualitasnya semua jurusan terakreditasi unggul semuanya ngomong-ngomong bangunan bekas atm itu bisa di bongkar supaya kelihatan wajah keren kampus telekomunikasi university,positif,"['kampus', 'adem', 'moga', 'telekomunikasi', 'university', 'tingkat', 'kualitas', 'jurus', 'akreditasi', 'unggul', 'ngomong-ngomong', 'bangun', 'bekas', 'atm', 'bongkar', 'wajah', 'keren', 'kampus', 'telekomunikasi', 'university']"
5.0,pelayanan sangat baik cepat respon,positif,"['layan', 'cepat', 'respon']"
5.0,pelayanannya top banget,positif,"['layan', 'top', 'banget']"
5.0,pelayanan admin sangat ramah dan responsif,positif,"['layan', 'admin', 'ramah', 'responsif']"
5.0,mau mencari kos buat anak yang akan kuliah disanaminta recomend kosan cowok yang bagusyg dekat kampus,netral,"['cari', 'kos', 'anak', 'kuliah', 'disanaminta', 'recomend', 'kosan', 'cowok', 'bagusyg', 'kampus']"
5.0,admin gercep banget suka,positif,"['admin', 'gercep', 'banget', 'suka']"
4.0,itu cabang dari telekomunikasi university di bandung mereka memiliki program yang mencakup mata pelajaran yang berkaitan dengan industri perangkat lunak dan perangkat keras resepsionis pusat informasi kampus surabaya harus lebih interaktif dengan orang tua siswa yang datang jauh untuk menanyakan program dan fasilitas di universitas mereka mengabaikan pelanggan dan mengerjakan laptop mereka pemimpin program juga harus mengetahui informasi terkini tentang kurikulum program dan karier siswa mereka sendiri beruntung ada tenaga pengajar yang rajin membantu kami memberikan informasi mengenai program dan fasilitas its the branch of the telekomunikasi university ini bandung they have programs covering subjects related tapi the software and hardware industry the receptionist at the information center ini surabaya campus has tapi be more interactive with the parents when they come from long way tapi enquire about the programs and facilities at the university they ignore the customer and work on their laptops program leaders must also be up tapi date about their own curriculum programs and student careers luckily there was a teaching staff who could diligently help us give information about the programs and facilities,negatif,"['cabang', 'telekomunikasi', 'university', 'bandung', 'milik', 'program', 'cakup', 'mata', 'ajar', 'kait', 'industri', 'perangkat', 'lunak', 'perangkat', 'keras', 'resepsionis', 'pusat', 'informasi', 'kampus', 'surabaya', 'interaktif', 'orang', 'tua', 'siswa', 'program', 'fasilitas', 'universitas', 'abai', 'langgan', 'laptop', 'pimpin', 'program', 'informasi', 'kini', 'kurikulum', 'program', 'karier', 'siswa', 'untung', 'tenaga', 'ajar', 'rajin', 'bantu', 'informasi', 'program', 'fasilitas', 'its', 'the', 'branch', 'of', 'the', 'telekomunikasi', 'university', 'bandung', 'they', 'have', 'programs', 'covering', 'subjects', 'related', 'the', 'software', 'and', 'hardware', 'industry', 'the', 'receptionist', 'at', 'the', 'information', 'center', 'surabaya', 'campus', 'has', 'be', 'more', 'interactive', 'with', 'the', 'parents', 'when', 'they', 'come', 'from', 'long', 'way', 'enquire', 'about', 'the', 'programs', 'and', 'facilities', 'at', 'the', 'university', 'they', 'ignore', 'the', 'customer', 'and', 'work', 'on', 'their', 'laptops', 'program', 'leaders', 'must', 'also', 'be', 'up', 'date', 'about', 'their', 'own', 'curriculum', 'programs', 'and', 'student', 'careers', 'luckily', 'there', 'was', 'a', 'teaching', 'staff', 'who', 'could', 'diligently', 'help', 'us', 'give', 'information', 'about', 'the', 'programs', 'and', 'facilities']"
5.0,pencetak generasi siap kerja recommended,positif,"['cetak', 'generasi', 'kerja', 'recommended']"
5.0,pelayanannya sangat baik,positif,['layan']
5.0,telekomunikasi university surabaya kampus swasta terakreditasi unggul di bawah naungan yayasan pendidikan telekomunikasi,positif,"['telekomunikasi', 'university', 'surabaya', 'kampus', 'swasta', 'akreditasi', 'unggul', 'naung', 'yayasan', 'didik', 'telekomunikasi']"
5.0,kakak kalau lulusan di tel you surabaya bagaimana yabyk ktrima dimana saja saya alumni stt telekomunikasi yang bandung,netral,"['kakak', 'lulus', 'tel', 'you', 'surabaya', 'yabyk', 'ktrima', 'mana', 'alumni', 'stt', 'telekomunikasi', 'bandung']"
5.0,tempat yang bagus rindang banyak pohonnya masjidnya jgbesar,positif,"['bagus', 'rindang', 'pohon', 'masjid', 'jgbesar']"
5.0,ijin bapakibu admin di stt telekomunikasi mohon kiranya uang yang sudah masuk ke stt telekomunikasi untuk segera dibayarkan kembali karena anak saya masuk di ptn terima kasih sekali lagi terima kasih bapakibu uang sudah kami terima semoga stt telekomunikasi terus berkembang dan menjadi universitas telekomunikasi surabaya,positif,"['ijin', 'bapakibu', 'admin', 'stt', 'telekomunikasi', 'mohon', 'uang', 'masuk', 'stt', 'telekomunikasi', 'bayar', 'anak', 'masuk', 'ptn', 'terima', 'kasih', 'terima', 'kasih', 'bapakibu', 'uang', 'terima', 'moga', 'stt', 'telekomunikasi', 'kembang', 'universitas', 'telekomunikasi', 'surabaya']"
5.0,sangat bagus,positif,['bagus']
5.0,saya lihat kampus ini keren bersih jurusan teknologi disini juga bagus-bagus dan milenial banget setau saya ada jurusan bisnis digital teknologi informasi sistem informasi informatika sains data telekomunikasi dan lain-lain kampus ini juga menjalin mitra kerja sama dengan perusahaan2 saya pun percaya kampus ini bakal berkembang pesat semangat ittelkom surabaya terus ditingkatkan lagi ya,positif,"['lihat', 'kampus', 'keren', 'bersih', 'jurus', 'teknologi', 'bagus', 'milenial', 'banget', 'tau', 'jurus', 'bisnis', 'digital', 'teknologi', 'informasi', 'sistem', 'informasi', 'informatika', 'sains', 'data', 'telekomunikasi', 'lain', 'kampus', 'jalin', 'mitra', 'kerja', 'perusahaan2', 'percaya', 'kampus', 'kembang', 'pesat', 'semangat', 'ittelkom', 'surabaya', 'tingkat', 'ya']"
5.0,terima kasih atas keramahannya sukses selalu buat universitas telekomunikasi surabaya,positif,"['terima', 'kasih', 'ramah', 'sukses', 'universitas', 'telekomunikasi', 'surabaya']"
5.0,bagus sangat istimewa membantu,positif,"['bagus', 'istimewa', 'bantu']"
5.0,pengalaman belajar disini sangat menyenangkan pendidikan yang bagus kampus yang bagus sukses terus telekomunikasi university surabaya,positif,"['alam', 'ajar', 'senang', 'didik', 'bagus', 'kampus', 'bagus', 'sukses', 'telekomunikasi', 'university', 'surabaya']"
4.0,lokasi di depan kampus unesa ketintang jalur padat dan ramai dekat fasilitas umum karena hanya lihat dari luar jadi hanya ini yang bisa saya share,netral,"['lokasi', 'kampus', 'unesa', 'ketintang', 'jalur', 'padat', 'ramai', 'fasilitas', 'lihat', 'share']"
5.0,pelayanan cepat,positif,"['layan', 'cepat']"
5.0,saya sudah 13 tahun tidak pernah ke divre 5 baru kali initempatnnya banyak perubahan,netral,"['13', 'divre', '5', 'kali', 'initempatnnya', 'ubah']"
5.0,sekarang menjadi telekomunikasi university surabaya loh,positif,"['telekomunikasi', 'university', 'surabaya', 'loh']"
5.0,kampus alternatif biar tidak jauhjauh ke bandung,negatif,"['kampus', 'alternatif', 'biar', 'jauhjauh', 'bandung']"
5.0,numpang lewat,netral,['numpang']
5.0,lembaga pendidikan private swasta terbaik yang hadir di surabaya,positif,"['lembaga', 'didik', 'private', 'swasta', 'baik', 'hadir', 'surabaya']"
5.0,pelayanan sangat baik,positif,['layan']
4.0,bagus,positif,['bagus']
5.0,kampus swasta terbaik no 1 di indonesia,positif,"['kampus', 'swasta', 'baik', 'no', '1', 'indonesia']"
5.0,salah satu universitas negeri yang tidak kalah bagus dengan universitas negeri lainnya,positif,"['salah', 'universitas', 'negeri', 'kalah', 'bagus', 'universitas', 'negeri']"
5.0,kampus kekinian dengan dosen2 muda yang menguasai itu uptodate semoga menjadi kampus unggulan seperti kampus dan sekolah yang dibawah telekomunikasi indonesia,positif,"['kampus', 'kini', 'dosen2', 'muda', 'kuasa', 'uptodate', 'moga', 'kampus', 'unggul', 'kampus', 'sekolah', 'bawah', 'telekomunikasi', 'indonesia']"
5.0,campus swasta baru berdiri tapi kualitasnya top banyak ilmu yang di dapat,positif,"['campus', 'swasta', 'diri', 'kualitas', 'top', 'ilmu']"
4.0,gedung nya gede banget security mas rivai ramah orang bondowoso,positif,"['gedung', 'nya', 'gede', 'banget', 'security', 'mas', 'rivai', 'ramah', 'orang', 'bondowoso']"
5.0,oke,positif,['oke']
5.0,institut teknologi telkomsel memang luar biasa tempat yang luas bersih indah,positif,"['institut', 'teknologi', 'telkomsel', 'luas', 'bersih', 'indah']"
5.0,bagus,positif,['bagus']
5.0,tempat mangkal,netral,['mangkal']
5.0,kampusnya mantab,positif,"['kampus', 'mantab']"
4.0,terus berbenah terus berkembang berbuah dan berbarokah untuk bangsa negara,positif,"['benah', 'kembang', 'buah', 'berbarokah', 'bangsa', 'negara']"
5.0,halaman parkirnya sangat luas staff securtynya ramahramah,positif,"['halaman', 'parkir', 'luas', 'staff', 'securtynya', 'ramahramah']"
5.0,google maps terimakasih kakaksangat membantu usaha kami,positif,"['google', 'maps', 'terimakasih', 'kakaksangat', 'bantu', 'usaha']"
5.0,bagus,positif,['bagus']
5.0,kampus yang sangat keren memiliki fasilitas yang lengkap,positif,"['kampus', 'keren', 'milik', 'fasilitas', 'lengkap']"
5.0,jurusan cyber security ada tidak ya,netral,"['jurus', 'cyber', 'security', 'ya']"
5.0,kampus swasta milik yayasan pendidikan telekomunikasi area nya ramai,positif,"['kampus', 'swasta', 'milik', 'yayasan', 'didik', 'telekomunikasi', 'area', 'nya', 'ramai']"
5.0,jatim makin mantaps dulu ada its sekarang ada itts joss,positif,"['jatim', 'mantaps', 'its', 'itts', 'joss']"
5.0,mntap,positif,['mntap']
5.0,kampus yang asyik dengan masa depan yang menjanjikan,positif,"['kampus', 'asyik', 'janji']"
5.0,kampus swasta baru terbaik yang pernah saya lihat,positif,"['kampus', 'swasta', 'baik', 'lihat']"
5.0,semua bagus,positif,['bagus']
5.0,koneksi wifi lancar parkiran luas penjaga ramah,positif,"['koneksi', 'wifi', 'lancar', 'parkir', 'luas', 'jaga', 'ramah']"
4.0,kami mengucapkan selamat dan sukses selalu dengan berdirinya itu telekomunikasi surabaya,positif,"['selamat', 'sukses', 'diri', 'telekomunikasi', 'surabaya']"
5.0,puji tuhan anak saya garudo diterima di sini,positif,"['puji', 'tuhan', 'anak', 'garudo', 'terima']"
4.0,lingkungan bersih enak buat belajar,positif,"['lingkung', 'bersih', 'enak', 'ajar']"
5.0,mencari informasi tentang penerimaan mahasiswa baru,netral,"['cari', 'informasi', 'terima', 'mahasiswa']"
5.0,kampus masa kini yang berbasis itu saya tertartik dengan kampus ini,positif,"['kampus', 'bas', 'tertartik', 'kampus']"
5.0,sebagai alumni itu telekomunikasi bandung saya terharu sekarang ada itu telekomunikasi surabaya selamat dan sukses itu telekomunikasi surabaya,positif,"['alumni', 'telekomunikasi', 'bandung', 'haru', 'telekomunikasi', 'surabaya', 'selamat', 'sukses', 'telekomunikasi', 'surabaya']"
5.0,bagus univnya,positif,"['bagus', 'univnya']"
5.0,parkir luas dan masjidnya bersih,positif,"['parkir', 'luas', 'masjid', 'bersih']"
5.0,joss kampus paling mantap adem,positif,"['joss', 'kampus', 'mantap', 'adem']"
5.0,kampus bagus banget,positif,"['kampus', 'bagus', 'banget']"
5.0,tata kelola unggul igracias telekomunikasi university academic information system,positif,"['tata', 'kelola', 'unggul', 'igracias', 'telekomunikasi', 'university', 'academic', 'information', 'system']"
5.0,tempat utbk ter best lah,positif,"['utbk', 'ter', 'best']"
5.0,saya pergi ke kampus disini ini bos,positif,"['pergi', 'kampus', 'bos']"
5.0,bersih,positif,['bersih']
5.0,perguruan tinggi baru dengan berjuta prestasi,positif,"['guru', 'juta', 'prestasi']"
5.0,kampus luar biasa berlokasi di pusat kota surabaya,positif,"['kampus', 'lokasi', 'pusat', 'kota', 'surabaya']"
5.0,institus teknologi telekomunikasi surabayaa adik dari telekomunikasi university yang ada di bandung,netral,"['institus', 'teknologi', 'telekomunikasi', 'surabayaa', 'adik', 'telekomunikasi', 'university', 'bandung']"
5.0,sangatt memuaskann,positif,"['sangatt', 'memuaskann']"
5.0,tempat mencari solusi untuk bangsa,positif,"['cari', 'solusi', 'bangsa']"
5.0,menuju kampus masa depan,positif,['kampus']
5.0,mau daftarkan anak bagaimana ya,netral,"['daftar', 'anak', 'ya']"
1.0,tidak sesuai ekspetasi,negatif,"['sesuai', 'ekspetasi']"
5.0,universitas top markotop,positif,"['universitas', 'top', 'markotop']"
5.0,nyaman dan aman,positif,"['nyaman', 'aman']"
5.0,area lengkap ini,netral,"['area', 'lengkap']"
5.0,bersih dan parkiran luas,positif,"['bersih', 'parkir', 'luas']"
4.0,,positif,[]
4.0,nyaman,positif,['nyaman']
5.0,bagus,positif,['bagus']
5.0,kampus kekinian,positif,"['kampus', 'kini']"
5.0,bagus,positif,['bagus']
5.0,cocok buat masa depan dunia digital semoga sukses admin baik mau ngejelasin dengan sabar cs di kampus juga telaten baik banget mantap semuanya,positif,"['cocok', 'dunia', 'digital', 'moga', 'sukses', 'admin', 'ngejelasin', 'sabar', 'cs', 'kampus', 'telaten', 'banget', 'mantap']"
5.0,pelayanan sangat baik dan jelas,positif,['layan']
5.0,cs nya sangat membantu,positif,"['cs', 'nya', 'bantu']"
5.0,bagus sejuk rapi,positif,"['bagus', 'sejuk', 'rapi']"
5.0,the best new ictbased college ini surabaya this college is a private college affiliated with telekomunikasi indonesia through telekomunikasi education foundation its campus is located ini a strategic location ini the middle of surabaya city memakai this college is easy tapi access and reach from anywhere ini surabaya the popular places nearby are royal plaza mall wonokromo station bungkul park etc,positif,"['the', 'best', 'new', 'ictbased', 'college', 'surabaya', 'this', 'college', 'is', 'a', 'private', 'college', 'affiliated', 'with', 'telekomunikasi', 'indonesia', 'through', 'telekomunikasi', 'education', 'foundation', 'its', 'campus', 'is', 'located', 'a', 'strategic', 'location', 'the', 'middle', 'of', 'surabaya', 'city', 'pakai', 'this', 'college', 'is', 'easy', 'access', 'and', 'reach', 'from', 'anywhere', 'surabaya', 'the', 'popular', 'places', 'nearby', 'are', 'royal', 'plaza', 'mall', 'wonokromo', 'station', 'bungkul', 'park', 'etc']"
1.0,good place but the security worker is bad i lost my key and ask tapi them but instead of helping they just pointing at me with high tone for whole 10 min ini the end the one said arrogantly tapi check other security post does all their worker act like this,negatif,"['good', 'place', 'but', 'the', 'security', 'worker', 'is', 'bad', 'i', 'lost', 'my', 'key', 'and', 'ask', 'them', 'but', 'instead', 'of', 'helping', 'they', 'just', 'pointing', 'at', 'me', 'with', 'high', 'tone', 'for', 'whole', '10', 'min', 'the', 'end', 'the', 'one', 'said', 'arrogantly', 'check', 'other', 'security', 'post', 'does', 'all', 'their', 'worker', 'act', 'like', 'this']"
5.0,great campus,positif,"['great', 'campus']"
5.0,keren jo kampuse,positif,"['keren', 'jo', 'kampuse']"
4.0,good,positif,['good']
5.0,very recommended ict based campus come and join tapi experience the excellences of maritime transportation and logistics industrial technology,positif,"['very', 'recommended', 'ict', 'based', 'campus', 'come', 'and', 'join', 'experience', 'the', 'excellences', 'of', 'maritime', 'transportation', 'and', 'logistics', 'industrial', 'technology']"
5.0,new ict based campus ini surabaya itu provides various engineering study programs with specialization ini maritime transportation and logistics industry,positif,"['new', 'ict', 'based', 'campus', 'surabaya', 'provides', 'various', 'engineering', 'study', 'programs', 'with', 'specialization', 'maritime', 'transportation', 'and', 'logistics', 'industry']"
5.0,telekomunikasi university contribute tapi the world,positif,"['telekomunikasi', 'university', 'contribute', 'the', 'world']"
5.0,,netral,[]
5.0,excellent ict based school for higher education,positif,"['excellent', 'ict', 'based', 'school', 'for', 'higher', 'education']"
5.0,menyatukan kembali benang merah maju bangsaku,positif,"['satu', 'benang', 'merah', 'maju', 'bangsa']"
5.0,mantap betul itts,positif,"['mantap', 'itts']"
5.0,excellent,positif,['excellent']
5.0,gacorrr,positif,['gacorrr']
5.0,nice,positif,['nice']
5.0,seep apik,positif,"['seep', 'apik']"
4.0,not bad,netral,"['not', 'bad']"
5.0,good school,positif,"['good', 'school']"
5.0,congrats telekomunikasi university surabaya,positif,"['congrats', 'telekomunikasi', 'university', 'surabaya']"
5.0,itts jossss,positif,"['itts', 'jossss']"
5.0,he,netral,['he']
5.0,warbyasah,positif,['warbyasah']
5.0,good place,positif,"['good', 'place']"
5.0,ittelkom assiiaapp,netral,"['ittelkom', 'assiiaapp']"
