rating,snippet,tokens,label_sentimen
5.0,kampus nyaman dengan kesempatan magang di industri selama 2 semester bagi para mahasiswanya,"['kampus', 'nyaman', 'dengan', 'kesempatan', 'magang', 'di', 'industri', 'selama', '2', 'semester', 'bagi', 'para', 'mahasiswanya']",positif
5.0,kampus yang baik dan nyaman,"['kampus', 'yang', 'baik', 'dan', 'nyaman']",positif
5.0,bagus kampusnya bersih enak buat belajar,"['bagus', 'kampusnya', 'bersih', 'enak', 'buat', 'belajar']",positif
5.0,kampus terkeren dengan dosen yang luar biasa sukses selalu,"['kampus', 'terkeren', 'dengan', 'dosen', 'yang', 'luar', 'biasa', 'sukses', 'selalu']",positif
5.0,kampus cyber university bersih dan nyaman adminnya juga baik dalam menyampaikan informasi tentang perkuliahan,"['kampus', 'cyber', 'university', 'bersih', 'dan', 'nyaman', 'adminnya', 'juga', 'baik', 'dalam', 'menyampaikan', 'informasi', 'tentang', 'perkuliahan']",positif
5.0,semangat bangkit membangun negeri bersama the new generation dengan bekal ilmu itu dan digital enterpreneur,"['semangat', 'bangkit', 'membangun', 'negeri', 'bersama', 'the', 'new', 'generation', 'dengan', 'bekal', 'ilmu', 'itu', 'dan', 'digital', 'enterpreneur']",positif
5.0,dosen muda yang punya pengalaman bidang itu ekonomi kewirausahaan dan digital entrepreneur,"['dosen', 'muda', 'yang', 'punya', 'pengalaman', 'bidang', 'itu', 'ekonomi', 'kewirausahaan', 'dan', 'digital', 'entrepreneur']",positif
5.0,kampusnya keren sih prodinya apa saja min,"['kampusnya', 'keren', 'sih', 'prodinya', 'apa', 'saja', 'min']",positif
5.0,lokasi kampus nya sangat strategis👍👍,"['lokasi', 'kampus', 'nya', 'sangat', 'strategis👍👍']",positif
5.0,lokasi yang strategis dosen yang sudah berpengalaman,"['lokasi', 'yang', 'strategis', 'dosen', 'yang', 'sudah', 'berpengalaman']",positif
5.0,kampusnya keren dan mudah aksesnya,"['kampusnya', 'keren', 'dan', 'mudah', 'aksesnya']",positif
5.0,sangat bagus terutama dosennya baik baik,"['sangat', 'bagus', 'terutama', 'dosennya', 'baik', 'baik']",positif
5.0,kampus dengan fasilitas yang nyaman dan keren,"['kampus', 'dengan', 'fasilitas', 'yang', 'nyaman', 'dan', 'keren']",positif
5.0,ruangan kampusnya keren habis,"['ruangan', 'kampusnya', 'keren', 'habis']",positif
5.0,suka perpus nya,"['suka', 'perpus', 'nya']",positif
5.0,ruangan bagus,"['ruangan', 'bagus']",positif
5.0,kampusnya keren 👍👍,"['kampusnya', 'keren', '👍👍']",positif
5.0,kampus dengan akses sangat mudah,"['kampus', 'dengan', 'akses', 'sangat', 'mudah']",positif
5.0,dosen dan staffnya keren,"['dosen', 'dan', 'staffnya', 'keren']",positif
5.0,dosennya sangat ramah,"['dosennya', 'sangat', 'ramah']",positif
5.0,strategis nyaman,"['strategis', 'nyaman']",positif
5.0,lokasinya strategis,"['lokasinya', 'strategis']",positif
5.0,kampus yang mantab,"['kampus', 'yang', 'mantab']",positif
5.0,strategis lokasinya,"['strategis', 'lokasinya']",positif
5.0,kampus keren di jakarta selatan,"['kampus', 'keren', 'di', 'jakarta', 'selatan']",positif
5.0,very enjoyable,"['very', 'enjoyable']",positif
5.0,great campus tapi prepare young leaders ini fintech,"['great', 'campus', 'tapi', 'prepare', 'young', 'leaders', 'ini', 'fintech']",positif
5.0,we wish cyber university will be smart campoes,"['we', 'wish', 'cyber', 'university', 'will', 'be', 'smart', 'campoes']",netral
5.0,the new generation itu campus,"['the', 'new', 'generation', 'itu', 'campus']",positif
5.0,nice,['nice'],positif
